testcase,Nitems,value,weight,time,optimal
04AlmostStronglyCorrelated\n02000\R10000\s016.kp,2000,6393968,4984562,160.004087,False
04AlmostStronglyCorrelated\n05000\R01000\s016.kp,5000,1604129,1252610,159.949310,False
04AlmostStronglyCorrelated\n05000\R10000\s016.kp,5000,16032360,12516574,159.954023,False
04AlmostStronglyCorrelated\n10000\R01000\s016.kp,10000,3183785,2478609,159.756040,True
04AlmostStronglyCorrelated\n10000\R10000\s016.kp,10000,31813728,24761320,159.762659,True
05SubsetSum\n00050\R01000\s016.kp,50,11929,11929,0.000000,True
05SubsetSum\n00050\R10000\s016.kp,50,119182,119182,0.000000,True
05SubsetSum\n00100\R01000\s016.kp,100,22466,22466,0.000000,True
05SubsetSum\n00100\R10000\s016.kp,100,224429,224429,0.000000,True
05SubsetSum\n00200\R01000\s016.kp,200,46559,46559,0.000000,True
05SubsetSum\n00200\R10000\s016.kp,200,465157,465157,0.003211,True
05SubsetSum\n00500\R01000\s016.kp,500,118266,118266,0.000000,True
05SubsetSum\n00500\R10000\s016.kp,500,1181595,1181595,0.002999,True
05SubsetSum\n01000\R01000\s016.kp,1000,243449,243449,0.000000,True
05SubsetSum\n01000\R10000\s016.kp,1000,2432289,2432289,0.002000,True
05SubsetSum\n02000\R01000\s016.kp,2000,499114,499114,0.000998,True
05SubsetSum\n02000\R10000\s016.kp,2000,4986708,4986708,0.000000,True
05SubsetSum\n05000\R01000\s016.kp,5000,1252946,1252946,0.002050,True
05SubsetSum\n05000\R10000\s016.kp,5000,12518337,12518337,0.009286,True
05SubsetSum\n10000\R01000\s016.kp,10000,2478609,2478609,0.002632,True
05SubsetSum\n10000\R10000\s016.kp,10000,24763893,24763893,0.004300,True
06UncorrelatedWithSimilarWeights\n00050\R01000\s016.kp,50,17384,2401073,0.016876,True
06UncorrelatedWithSimilarWeights\n00050\R10000\s016.kp,50,17384,2401073,0.015595,True
06UncorrelatedWithSimilarWeights\n00100\R01000\s016.kp,100,34448,4902554,0.103662,True
06UncorrelatedWithSimilarWeights\n00100\R10000\s016.kp,100,34448,4902554,0.101830,True
06UncorrelatedWithSimilarWeights\n00200\R01000\s016.kp,200,71538,9904917,0.000000,True
06UncorrelatedWithSimilarWeights\n00200\R10000\s016.kp,200,71538,9904917,0.000000,True
06UncorrelatedWithSimilarWeights\n00500\R01000\s016.kp,500,182355,24712578,160.024057,False
06UncorrelatedWithSimilarWeights\n00500\R10000\s016.kp,500,182355,24712578,160.019047,False
06UncorrelatedWithSimilarWeights\n01000\R01000\s016.kp,1000,370842,49525893,0.071626,True
06UncorrelatedWithSimilarWeights\n01000\R10000\s016.kp,1000,370842,49525893,0.065800,True
06UncorrelatedWithSimilarWeights\n02000\R01000\s016.kp,2000,753943,99050939,160.045185,False
06UncorrelatedWithSimilarWeights\n02000\R10000\s016.kp,2000,753943,99050939,160.023556,False
06UncorrelatedWithSimilarWeights\n05000\R01000\s016.kp,5000,1885243,247620341,159.966260,False
06UncorrelatedWithSimilarWeights\n05000\R10000\s016.kp,5000,1885243,247620341,159.972214,False
06UncorrelatedWithSimilarWeights\n10000\R01000\s016.kp,10000,3741911,495249101,159.829281,True
06UncorrelatedWithSimilarWeights\n10000\R10000\s016.kp,10000,3741911,495249101,159.832377,True
07SpannerUncorrelated\n00050\R01000\s016.kp,50,5028,4764,0.426180,True
07SpannerUncorrelated\n00050\R10000\s016.kp,50,51352,48775,0.079125,True
07SpannerUncorrelated\n00100\R01000\s016.kp,100,10922,10160,0.249830,True
07SpannerUncorrelated\n00100\R10000\s016.kp,100,111180,103530,0.894044,True
07SpannerUncorrelated\n00200\R01000\s016.kp,200,21637,20207,152.132630,True
07SpannerUncorrelated\n00200\R10000\s016.kp,200,220088,206195,160.084928,False
07SpannerUncorrelated\n00500\R01000\s016.kp,500,55126,51280,160.056337,False
07SpannerUncorrelated\n00500\R10000\s016.kp,500,561568,522928,160.081155,False
07SpannerUncorrelated\n01000\R01000\s016.kp,1000,111542,103760,160.337414,False
07SpannerUncorrelated\n01000\R10000\s016.kp,1000,1135780,1057630,160.071371,False
07SpannerUncorrelated\n02000\R01000\s016.kp,2000,225363,209640,160.046991,False
07SpannerUncorrelated\n02000\R10000\s016.kp,2000,2295104,2137184,160.034406,False
07SpannerUncorrelated\n05000\R01000\s016.kp,5000,559344,520320,159.981934,False
07SpannerUncorrelated\n05000\R10000\s016.kp,5000,5696340,5304390,159.982345,False
07SpannerUncorrelated\n10000\R01000\s016.kp,10000,1128223,1049517,159.862023,True
07SpannerUncorrelated\n10000\R10000\s016.kp,10000,11489908,10699318,159.866599,True
08SpannerWeaklyCorrelated\n00050\R01000\s016.kp,50,8016,4587,0.000000,True
08SpannerWeaklyCorrelated\n00050\R10000\s016.kp,50,78844,46792,0.002976,True
08SpannerWeaklyCorrelated\n00100\R01000\s016.kp,100,16984,9898,17.830142,True
08SpannerWeaklyCorrelated\n00100\R10000\s016.kp,100,167644,100876,13.130417,True
08SpannerWeaklyCorrelated\n00200\R01000\s016.kp,200,33848,19541,160.071535,False
08SpannerWeaklyCorrelated\n00200\R10000\s016.kp,200,333378,199056,160.127065,False
08SpannerWeaklyCorrelated\n00500\R01000\s016.kp,500,85760,49745,160.045552,False
08SpannerWeaklyCorrelated\n00500\R10000\s016.kp,500,845490,506616,160.103286,False
08SpannerWeaklyCorrelated\n01000\R01000\s016.kp,1000,173008,101356,160.062776,False
08SpannerWeaklyCorrelated\n01000\R10000\s016.kp,1000,1708006,1032368,160.021748,False
08SpannerWeaklyCorrelated\n02000\R01000\s016.kp,2000,349648,204691,160.023502,False
08SpannerWeaklyCorrelated\n02000\R10000\s016.kp,2000,3451458,2084660,160.005705,False
08SpannerWeaklyCorrelated\n05000\R01000\s016.kp,5000,868432,507034,159.969704,False
08SpannerWeaklyCorrelated\n05000\R10000\s016.kp,5000,8570360,5164928,159.966198,False
08SpannerWeaklyCorrelated\n10000\R01000\s016.kp,10000,1751696,1022627,159.850858,True
08SpannerWeaklyCorrelated\n10000\R10000\s016.kp,10000,17287214,10417092,159.839799,True
09SpannerStronglyCorrelated\n00050\R01000\s016.kp,50,19140,4640,0.000000,True
09SpannerStronglyCorrelated\n00050\R10000\s016.kp,50,191340,47340,0.000220,True
09SpannerStronglyCorrelated\n00100\R01000\s016.kp,100,40029,9929,44.994821,True
09SpannerStronglyCorrelated\n00100\R10000\s016.kp,100,401208,101208,3.391796,True
09SpannerStronglyCorrelated\n00200\R01000\s016.kp,200,79794,19594,160.082486,False
09SpannerStronglyCorrelated\n00200\R10000\s016.kp,200,798712,199712,160.047276,False
09SpannerStronglyCorrelated\n00500\R01000\s016.kp,500,201366,49766,160.050948,False
09SpannerStronglyCorrelated\n00500\R10000\s016.kp,500,2017052,507052,160.061133,False
09SpannerStronglyCorrelated\n01000\R01000\s016.kp,1000,404998,101398,160.033233,False
09SpannerStronglyCorrelated\n01000\R10000\s016.kp,1000,4059028,1033028,157.470714,True
09SpannerStronglyCorrelated\n02000\R01000\s016.kp,2000,817971,204571,160.012110,False
09SpannerStronglyCorrelated\n02000\R10000\s016.kp,2000,8195684,2083684,160.026704,False
09SpannerStronglyCorrelated\n05000\R01000\s016.kp,5000,2033779,506979,159.973639,False
09SpannerStronglyCorrelated\n05000\R10000\s016.kp,5000,20377716,5164716,159.969748,False
09SpannerStronglyCorrelated\n10000\R01000\s016.kp,10000,4102769,1022669,159.843381,True
09SpannerStronglyCorrelated\n10000\R10000\s016.kp,10000,41105312,10417312,159.843622,True
10MultipleStronglyCorrelated\n00050\R01000\s016.kp,50,19523,11923,0.001000,True
10MultipleStronglyCorrelated\n00050\R10000\s016.kp,50,193176,119176,0.000000,True
10MultipleStronglyCorrelated\n00100\R01000\s016.kp,100,37964,22464,0.411873,True
10MultipleStronglyCorrelated\n00100\R10000\s016.kp,100,380398,224398,0.000000,True
10MultipleStronglyCorrelated\n00200\R01000\s016.kp,200,77254,46554,160.003761,False
10MultipleStronglyCorrelated\n00200\R10000\s016.kp,200,777156,465156,0.088037,True
10MultipleStronglyCorrelated\n00500\R01000\s016.kp,500,196666,118266,160.075499,False
10MultipleStronglyCorrelated\n00500\R10000\s016.kp,500,1962583,1181583,0.000000,True
10MultipleStronglyCorrelated\n01000\R01000\s016.kp,1000,397844,243444,160.029780,False
10MultipleStronglyCorrelated\n01000\R10000\s016.kp,1000,3980286,2432286,0.000000,True
10MultipleStronglyCorrelated\n02000\R01000\s016.kp,2000,808210,499110,160.011466,False
10MultipleStronglyCorrelated\n02000\R10000\s016.kp,2000,8094280,4986280,160.009012,False
10MultipleStronglyCorrelated\n05000\R01000\s016.kp,5000,2025944,1252944,159.980351,False
10MultipleStronglyCorrelated\n05000\R10000\s016.kp,5000,20237003,12518003,159.952357,False
10MultipleStronglyCorrelated\n10000\R01000\s016.kp,10000,4027741,2478541,159.769108,True
10MultipleStronglyCorrelated\n10000\R10000\s016.kp,10000,40234308,24762308,159.762854,True
11ProfitCeiling\n00050\R01000\s016.kp,50,11922,11929,0.000989,True
11ProfitCeiling\n00050\R10000\s016.kp,50,119172,119182,0.000999,True
11ProfitCeiling\n00100\R01000\s016.kp,100,22452,22466,0.000000,True
11ProfitCeiling\n00100\R10000\s016.kp,100,224412,224428,160.057570,False
11ProfitCeiling\n00200\R01000\s016.kp,200,46533,46559,0.000000,True
11ProfitCeiling\n00200\R10000\s016.kp,200,465135,465155,160.105424,False
11ProfitCeiling\n00500\R01000\s016.kp,500,118218,118265,159.956944,False
11ProfitCeiling\n00500\R10000\s016.kp,500,1181544,1181595,1.114978,True
11ProfitCeiling\n01000\R01000\s016.kp,1000,243345,243449,160.063410,False
11ProfitCeiling\n01000\R10000\s016.kp,1000,2432190,2432287,160.104682,False
11ProfitCeiling\n02000\R01000\s016.kp,2000,498927,499113,160.008215,False
11ProfitCeiling\n02000\R10000\s016.kp,2000,4986528,4986708,160.013547,False
11ProfitCeiling\n05000\R01000\s016.kp,5000,1252473,1252946,159.976309,False
11ProfitCeiling\n05000\R10000\s016.kp,5000,12517860,12518335,159.986182,False
11ProfitCeiling\n10000\R01000\s016.kp,10000,2477691,2478609,159.869405,True
11ProfitCeiling\n10000\R10000\s016.kp,10000,24762942,24763893,159.871587,True
12Circle\n00050\R01000\s016.kp,50,251354,11929,0.450471,True
12Circle\n00050\R10000\s016.kp,50,7945063,119182,1.678827,True
12Circle\n00100\R01000\s016.kp,100,473377,22466,160.100425,False
12Circle\n00100\R10000\s016.kp,100,14961176,224429,0.649608,True
12Circle\n00200\R01000\s016.kp,200,981039,46559,160.100272,False
12Circle\n00200\R10000\s016.kp,200,31008897,465157,160.085261,False
12Circle\n00500\R01000\s016.kp,500,2491974,118266,160.081771,False
12Circle\n00500\R10000\s016.kp,500,78769019,1181595,156.936944,True
12Circle\n01000\R01000\s016.kp,1000,5129695,243449,160.055548,False
12Circle\n01000\R10000\s016.kp,1000,162144403,2432289,158.958201,True
12Circle\n02000\R01000\s016.kp,2000,10516807,499114,160.022749,False
12Circle\n02000\R10000\s016.kp,2000,332430390,4986708,159.212533,True
12Circle\n05000\R01000\s016.kp,5000,26400760,1252946,159.979260,False
12Circle\n05000\R10000\s016.kp,5000,834513615,12518337,159.980762,False
12Circle\n10000\R01000\s016.kp,10000,52226632,2478609,159.875270,True
12Circle\n10000\R10000\s016.kp,10000,1650842738,24763893,159.882809,True
